DATE,FFR,BOK,TB3Y,TB10Y,CD,USD,A_SP,A_CP,A_AUM,A_VOL,A_NAV,B_SP,B_CP,B_AUM,B_VOL,B_NAV,C_SP,C_CP,C_AUM,C_VOL,C_NAV,D_SP,D_CP,D_AUM,D_VOL,D_NAV,E_SP,E_CP,E_AUM,E_VOL,E_NAV,F_SP,F_CP,F_AUM,F_VOL,F_NAV,G_SP,G_CP,G_AUM,G_VOL,G_NAV
2021-01-22,0.250,0.500,0.990,1.755,0.690,"1,099.20","102,665","102,670","1,773,316","20,457",102663.19,"58,135","58,110","94,138","3,385",58107.77,"99,505","99,505","52,738",1,99498.83,"122,400","122,425","239,953","4,771",122446.93,"46,850","46,850","3,842",0,46866.47,"43,675","43,225","5,805,118","13,042,949",43349.16,"3,825","3,865","1,102,685","94,382,271",3868.79
2021-01-21,0.250,0.500,0.970,1.702,0.690,"1,100.00","102,665","102,660","1,775,915","18,614",102662.43,"58,130","58,135","94,179","2,722",58153.37,"99,425","99,425","52,695",6,99398.13,"122,855","122,910","240,904","2,989",122914.63,"46,675","46,685","3,828",6,46660.71,"43,300","43,530","5,600,135","9,087,554",43663.74,"3,860","3,840","1,108,224","83,911,217",3842.53
2021-01-20,0.250,0.500,0.975,1.702,0.690,"1,102.10","102,655","102,665","1,846,738","17,589",102661.91,"58,120","58,125","94,163","1,963",58149.32,"99,430","99,430","52,698",6,99406.35,"122,775","122,900","240,884","10,675",122890.79,"46,690","46,675","3,827",6,46649.41,"43,410","42,900","5,499,780","10,680,032",43035.92,"3,855","3,895","1,111,633","116,966,425",3898.87
2021-01-19,0.250,0.500,0.977,1.710,0.690,"1,104.40","102,660","102,660","1,838,949","29,420",102662.39,"58,110","58,120","94,154","21,404",58139.1,"99,440","99,440","52,703",21,99414.65,"122,655","122,725","240,541","5,044",122768.42,"46,745","46,720","3,831",6,46700.42,"41,785","42,655","5,410,787","9,750,896",42769.82,"4,010","3,920","1,114,848","117,920,463",3909.1
2021-01-18,0.250,0.500,0.967,1.710,0.690,"1,097.90","102,660","102,660","1,836,382","31,033",102661.4,"58,125","58,115","94,146","2,393",58141.51,"99,380","99,385","52,674",12,99396.05,"122,600","122,785","240,659","4,358",122754.07,"46,750","46,705","3,830",12,46703.81,"42,095","41,560","5,269,808","11,959,669",41681.68,"3,985","4,025","1,160,810","136,310,318",4040.47
2021-01-15,0.250,0.500,0.970,1.730,0.670,"1,100.30","102,660","102,665","1,835,856","29,955",102659.49,"58,110","58,125","94,163","3,938",58131.89,"99,490","99,445","52,706",6,99413.02,"122,360","122,600","240,296","6,850",122539.19,"46,840","46,815","3,839",6,46791.23,"43,735","42,550","5,435,763","11,911,736",42677.27,"3,830","3,940","1,135,508","124,622,867",3943.97
2021-01-14,0.250,0.500,0.987,1.732,0.670,"1,095.00","102,655","102,660","1,834,124","19,241",102655.74,"58,140","58,110","94,138","9,161",58104.02,"99,445","99,480","52,724",145,99464.29,"122,755","122,470","240,041","3,860",122484.01,"46,740","46,830","3,840",6,46812.26,"43,340","43,505","5,788,340","9,091,710",43609.6,"3,865","3,850","1,082,235","57,914,472",3848.25
2021-01-13,0.250,0.500,0.975,1.717,0.670,"1,099.90","102,650","102,650","1,835,690","6,741",102654.85,"58,100","58,130","94,171","10,890",58125.18,"99,375","99,400","52,682",41,99409.66,"122,730","122,580","240,257","4,719",122615.49,"46,690","46,740","3,833",41,46745.97,"43,360","43,560","5,976,432","11,988,847",43664.44,"3,865","3,850","1,006,390","118,777,203",3860.08
2021-01-12,0.250,0.500,0.977,1.717,0.660,"1,097.80","102,655","102,650","2,010,708","19,038",102652.91,"58,145","58,105","87,158","10,268",58115.88,"99,450","99,460","52,714",6,99417.87,"122,650","122,600","240,296","19,785",122583.31,"46,770","46,805","3,838",6,46767.67,"43,430","43,315","6,133,404","25,494,989",43413.04,"3,860","3,870","917,577","216,139,997",3870.12
2021-01-11,0.250,0.500,0.965,1.685,0.660,"1,094.40","102,650","102,655","2,001,670","27,379",102652.33,"58,100","58,145","83,729","79,911",58132.44,"99,470","99,430","52,698",5,99399.23,"122,350","122,785","240,659","5,880",122842.76,"46,840","46,710","3,830",5,46683.22,"44,000","43,655","6,196,827","23,107,696",43741.49,"3,815","3,840","880,512","314,196,368",3827.86
